date,price
2019-01-20,673.0488905830489
2019-01-21,670.6772430109733
2019-01-22,678.5678543998171
2019-01-23,675.0792354875614
2019-01-24,676.6226462762232
2019-01-25,674.9706815886366
2019-01-26,674.6276326309719
2019-01-27,667.9602596902131
2019-01-28,639.4882606255412
2019-01-29,634.5371589662103
2019-01-30,654.5224748448508
2019-01-31,645.144011055224
2019-02-01,650.413083918835
2019-02-02,655.8345993010715
2019-02-03,648.701325971831
2019-02-04,649.9491884764504
2019-02-05,650.1012481315292
2019-02-06,635.3126166644661
2019-02-07,634.0912247072956
2019-02-08,693.6576596015047
2019-02-09,695.7491595496084
2019-02-10,700.9863669366025
2019-02-11,688.1422493676931
2019-02-12,692.2218990438356
2019-02-13,686.3419038456157
2019-02-14,681.6652617354723
2019-02-15,684.6862112785386
2019-02-16,689.0854220699413
2019-02-17,705.228791348979
2019-02-18,753.860103351536
2019-02-19,758.1799421165006
2019-02-20,777.6517186512975
2019-02-21,763.3052965950646
2019-02-22,772.4476850469179
2019-02-23,804.8591911190409
2019-02-24,723.9205587616872
2019-02-25,741.6870950968596
2019-02-26,734.554290787885
2019-02-27,734.6905192708022
2019-02-28,734.7985398546092
2019-03-01,736.5237779234751
2019-03-02,734.0751434810144
2019-03-03,730.6969256615348
2019-03-04,708.7687106265869
2019-03-05,745.9958984168362
2019-03-06,749.0599860955965
2019-03-07,749.3725645503599
2019-03-08,742.9403001013159
2019-03-09,759.9868667100809
2019-03-10,755.7676127400509
2019-03-11,742.5335302229104
2019-03-12,746.3985204240741
2019-03-13,743.427630511123
2019-03-14,745.1723821267593
2019-03-15,759.1231953758382
2019-03-16,777.9000878418765
2019-03-17,770.811860345811
2019-03-18,771.0481538847508
2019-03-19,775.5008587337618
2019-03-20,780.9988862354371
2019-03-21,766.5745143217615
2019-03-22,768.6424535739154
2019-03-23,773.6821016956454
2019-03-24,769.951264468239
2019-03-25,758.0698295123618
2019-03-26,758.3384626255513
2019-03-27,785.732924491219
2019-03-28,780.8108289772235
2019-03-29,795.8866055818011
2019-03-30,794.1401353703675
2019-03-31,793.7662317933982
2019-04-01,800.1438496592318
2019-04-02,946.5755810371468
2019-04-03,964.1918274011226
